Coefficients for:,Edge Coverage,Edge Load,Node Load,Number of Monitoring Stations
,1.0,0.0,0.0,0.0
Graph ID,Number of Paths Used,Total Paths,Number of Monitoring Stations,Average Node Load,Maximum Node Load,Average Edge Load,Maximum Edge Load
0,347,580,34,21.79,27,1.03,2
1,79,1560,50,5.63,8,1.13,2
2,680,5326,95,19.72,31,1.11,2
3,695,820,41,34.51,38,1.01,2
4,63,505,29,6.40,11,1.17,2
Coefficients for:,Edge Coverage,Edge Load,Node Load,Number of Monitoring Stations
,0.28,-0.03,-0.69,0.55
Graph ID,Number of Paths Used,Total Paths,Number of Monitoring Stations,Average Node Load,Maximum Node Load,Average Edge Load,Maximum Edge Load
0,473,580,34,28.06,29,1.26,3
1,348,1560,51,14.20,15,2.04,5
2,1740,5326,95,37.07,38,1.67,4
3,779,820,41,38.05,39,1.09,2
4,297,505,30,20.33,22,2.85,9
Coefficients for:,Edge Coverage,Edge Load,Node Load,Number of Monitoring Stations
,0.85,-0.9,-0.01,0.42
Graph ID,Number of Paths Used,Total Paths,Number of Monitoring Stations,Average Node Load,Maximum Node Load,Average Edge Load,Maximum Edge Load
0,348,580,34,21.44,27,1.00,1
1,82,1560,49,5.22,7,1.00,1
2,670,5326,93,18.32,31,1.00,1
3,694,820,41,34.34,38,1.00,1
4,62,505,30,5.73,10,1.00,1
